hSNCode,itemName,gST,rate
0802.11.00,Almond (in shell; dried),12%,462
0802.21.00,"Hazelnuts, filberts (in shell; dried)",12%,214
0802.31.00,Walnet in shell - dried,12%,60
0802.40.00,"Chestnuts, castanea spp (shelled or not; dried)",12%,86
0802.50.00,Pistachios (shelled or not) - dried,12%,188
0802.60.00,Macadamia (shelled or not; dried),12%,139
0802.90.11,Arecanut/Betel nut dried,5%,383
0804.00.00,"Dates, figs, pineapples, avocados, guavas, mangoes, and mangosteens, dried",12%,284
0804.10.30,Hard dates (dry dates),12%,408
0804.20.90,Dried Figs,12%,341
0804.30.00,Pineapples - dried,12%,17
0804.40.00,Avocados - dried,12%,104
0804.50.00,"Guavas, mangoes and mangosteens - dried",12%,1
0804.50.30,"Mangoes, sliced dried",12%,290
0806.00.00,"Grapes, dried, and raisins",12%,110
0806.20.00,Dried (including raisins),12%,271
0806.20.10,Dried grapes (Raisins),12%,429
0811.00.00,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",5%,44
0811.10.00,Strawberries,5%,383
0811.10.10,Strawberries contained added sugar,5%,257
0811.10.20,Straberries not sontained added sugar,5%,344
0811.20.00,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit)",5%,368
0811.20.10,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit) contained added sugar",5%,191
0811.20.20,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit) not sontained added sugar",5%,483
0811.90.00,"Wild, cultivated cherries: sweet varieties, tart varieties",5%,43
0811.90.10,"Wild, cultivated cherries: sweet varieties, tart varieties - Contained added sugar",5%,137
0811.90.90,"Wild, cultivated cherries: sweet varieties, tart varieties - not sontained added sugar",5%,8
0812.10.00,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",5%,211
0812.90.00,Mango slices in brine,5%,95
0812.90.00,Other fruit and nuts (provisionally preserved by preservative solution),5%,285
0813.00.00,"Fruit, dried, other than that of Heading 801 to 0806; mistures of nuts or dried fruits of Chapter 8",12%,334
0813.10.00,"Apricots, prunes",12%,440
0813.20.00,Dried prunes,12%,250
0813.30.00,Apples,12%,23
0813.40.00,Other fruit: wild blueberries,12%,217
0813.40.20,Singoda whole (Water nut),12%,345
0813.40.90,Otherdried fruits,12%,458
0813.50.00,Mixtures of nuts or dried fruits of Chapter 8,12%,141
0813.52.00,Mixtures of nuts or dried fruits - Containing only fruit,12%,43
0813.54.00,Mixtures of nuts or dried fruits - Containing only nuts,12%,407
0814.00.00,"Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulfur water or in other preservative solutions",5%,169
0901.00.00,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion, other than coffee beans not roasted.",5%,470
0901.11.00,"Coffee (not roasted, not decaffeinated)",5%,475
0901.12.00,"Coffee (not roasted, decaffeinated)",5%,376
0901.21.00,"Coffee (roasted, not decaffeinated)",5%,351
0901.22.00,"Coffee (roasted, decaffeinated)",5%,442
0901.30.00,Coffee husks and skins,5%,433
0901.40.00,Coffee substitutes containing coffee,5%,108
0902.00.00,"Tea, whether or not flavoured, other than unporcessed green leaves of tea",5%,478
0902.10.00,Green tea (not fermented) in immediate packings of a content not exceeding 3 (661 lb),5%,238
0902.20.00,Other green tea (not fermented),5%,260
0902.20.10,Green tea in packets with contents exceeding 3 Kg but not excedding 20 Kg,5%,86
0902.20.20,Green Tea in bulk,5%,103
0902.20.30,"Green tea agglomerated in forms such as ball, brick and tables",5%,135
0902.20.40,Green tea waste,5%,241
0902.30.00,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3(661 lb)",5%,136
0902.40.00,Other black tea (fermented) and other partly fermented tea,5%,436
0903.00.00,Mate,5%,26
0904.00.00,"Pepper of genus piper, dried or crushed or ground fruits of the genus Capsicum or of the genus pimenta",5%,444
0904.11.00,Pepper neither crushed nor ground,5%,363
0904.11.10,"Pepper, long",5%,259
0904.11.20,Light black pepper,5%,478
0904.11.30,"Black pepper, grabled",5%,413
0904.11.40,Black pepper ungarbled,5%,346
0904.11.50,"Green pepper, dehydrated",5%,342
0904.11.60,Pepper pinheads,5%,309
0904.11.70,"Green pepper, frozen or dried",5%,63
0904.11.80,"Pepper other than green, forzen",5%,421
0904.12.00,Pepper - Crushed or ground,5%,453
0904.20.00,"Fruits of the genus capsicum (peppers) or of the genus pimenta (eg, allspice), dried or crushed or ground",5%,398
0904.20.10,Dried chillies,5%,209
0904.20.20,Chilly powder,5%,153
0904.20.30,Fruits of the genus capsicum,5%,453
0904.20.40,Chilly seed,5%,274
0904.20.50,Jamaica pepper,5%,40
0905.00.00,Vanilla,5%,200
0905.00.10,Vanilla beans,5%,393
0905.00.20,Vanilla powder,5%,90
0906.00.00,Cinnamon and cinnamon-tree flowers,5%,443
0906.11.00,Cinnamon (Cinnamomum zeylanicum Blume) Neither crushed nor ground,5%,304
0906.11.10,Cinnamon bark Neither crushed nor ground,5%,471
0906.11.20,Cinnamon tree flowers Neither crushed nor ground,5%,183
0906.20.00,Cinnamon Crushed or ground,5%,494
0907.00.00,"Cloves (whole fruit, cloves and stems)",5%,40
0907.00.10,"Cloves (whole fruit, cloves and stems) , extracted",5%,169
0907.00.20,"Cloves (whole fruit, cloves and stems) , not extracted",5%,259
0908.00.00,"Nutmeg, mace and cardamoms",5%,64
0908.10.10,Nutmeg in shell,5%,265
0908.20.00,Mace,5%,360
0908.30.00,Cardamoms,5%,127
0909.00.00,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries other than seed quality",5%,430
0909.10.00,Seeds of Anise or badian,5%,370
0909.20.00,Seeds of Coriander,5%,171
0909.30.00,Seeds of cumin,5%,22
0909.40.00,Seeds of caraway,5%,434
0909.50.00,"Seeds of Chillie Seeds, fennel; juniper berries",5%,55
0909.50.00,Seeds of fennel; juniper berries,5%,367
0910.00.00,"Ginger other than fresh genger, saffron, tumeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",5%,231
0910.10.20,Ginger Dried unbleached,5%,221
0910.10.30,Ginger Dried Bleached,5%,281
0910.10.40,Ginger Powder,5%,89
0910.10.90,"Ginger, saffron, tumeric, thyme, bay leaves etc: Other",5%,107
0910.20.00,Saffron,5%,265
0910.20.10,Safdfron stigma,5%,432
0910.20.20,Saffron stamen,5%,253
0910.30.20,Turmeric dried,5%,44
0910.30.30,Turmeric powder,5%,404
0910.40.00,Thyme; bay leaves,5%,465
0910.91.00,Mixtures referred to in note 1(b) to this chapter,5%,32
0910.99.00,Other spices,5%,126
0910.99.11,"Celery seed other than celeriac, mushrooms and truffles:",5%,322
